id, palette, k, r, g, b, hue, sat, lum
0x000aa257aa, Normal, 10, 162, 87, 170, 294.2168674698795, 0.3280632411067193, 0.503921568627451
0x000aa41c29, Normal, 10, 164, 28, 41, 354.2647058823529, 0.7083333333333335, 0.3764705882352941
0x000aa7f5c9, Normal, 10, 167, 245, 201, 146.15384615384613, 0.7959183673469389, 0.807843137254902
0x000aa95bf1, Normal, 10, 169, 91, 241, 271.2, 0.8426966292134831, 0.6509803921568628
0x000aab7d19, Normal, 10, 171, 125, 25, 41.09589041095891, 0.7448979591836735, 0.38431372549019605
0x000aac99d3, Normal, 10, 172, 153, 211, 259.6551724137931, 0.39726027397260255, 0.7137254901960783
0x000aaf6454, Normal, 10, 175, 100, 84, 10.54945054945055, 0.36254980079681276, 0.5078431372549019
0x000ab00318, Normal, 10, 176, 3, 24, 352.71676300578036, 0.9664804469273744, 0.3509803921568627
0x000ab2ff84, Normal, 10, 178, 255, 132, 97.56097560975611, 0.9999999999999998, 0.7588235294117647
0x000ab3cef0, Normal, 10, 179, 206, 240, 213.44262295081967, 0.6703296703296703, 0.8215686274509804
0x000ab52dee, Normal, 10, 181, 45, 238, 282.27979274611397, 0.8502202643171807, 0.5549019607843138
0x000ab91201, Normal, 10, 185, 18, 1, 5.5434782608695645, 0.989247311827957, 0.36470588235294116
0x000ab96532, Normal, 10, 185, 101, 50, 22.666666666666664, 0.574468085106383, 0.46078431372549017
0x000ab9ce60, Normal, 10, 185, 206, 96, 71.45454545454545, 0.5288461538461539, 0.592156862745098
0x000abf7b07, Normal, 10, 191, 123, 7, 37.82608695652174, 0.9292929292929293, 0.38823529411764707
0x000ac82b51, Normal, 10, 200, 43, 81, 345.4777070063694, 0.6460905349794239, 0.4764705882352941
0x000ac99cf4, Normal, 10, 201, 156, 244, 270.68181818181813, 0.8000000000000004, 0.7843137254901962
0x000acce449, Normal, 10, 204, 228, 73, 69.29032258064515, 0.7416267942583733, 0.5901960784313726
0x000ace9472, Normal, 10, 206, 148, 114, 22.173913043478265, 0.4842105263157895, 0.6274509803921569
0x000acf6883, Normal, 10, 207, 104, 131, 344.2718446601942, 0.5175879396984926, 0.6098039215686275
0x000ad20f01, Normal, 10, 210, 15, 1, 4.019138755980862, 0.990521327014218, 0.4137254901960784
0x000ad6e0d2, Normal, 10, 214, 224, 210, 102.8571428571428, 0.18421052631578952, 0.8509803921568627
0x000ad7bf58, Normal, 10, 215, 191, 88, 48.661417322834644, 0.6135265700483092, 0.5941176470588235
0x000ad9dd1b, Normal, 10, 217, 221, 27, 61.23711340206185, 0.7822580645161291, 0.48627450980392156
